orgID,name,address
2444,Senior Dogs 4 Seniors,1109 Babler Forest Court
2463,LL Dog Rescue,P. O. Box 8545
866,The Kris Kelly Foundation,439 North Canon Drive Suite 300
2480,Karens K-9s,
2509,Westie\/Cairn Terrier Rescue of SW Ohio,
222,Tennessee Pekingese Rescue,Box 67
2545,West Tennessee Border Collie Rescue,PO Box 2467
2629,Friends of the Southern Ocean County Animal Shelter,
2112,Del Norte County Animal Control,2650 Washington Blvd
2647,Animal Rescue League of El Paso - No Kill,7256 La Junta
2660,The Feline Haven,
2663,Pearland Animal Control and Adoption Center,2002 Old Alvin Road
2673,Partners for Pets,4011 Maintenance Drive
1933,Prince Georges County Animal Management Division,8311 D`Arcy Road
1378,Golden Retrievers In Need Rescue Service, Inc.,P.O. Box 24365
2177,Lonely Hearts Animal Rescue,
2707,St. Clair County Animal Adoption Center,1250 South 11th Street 
2730,SOS Beagle Rescue, Inc.,814 Judith Lane
2745,Polk County Animal Shelter,1733 N. Washington 
2109,Toledo Area Humane Society,1920 Indianwood Circle
2751,Shelter Friends Rescue,P.O. Box 3
2753,German Shepherd Dogs 411,287 Sisson Rd
2083,HCPHES Veterinary Public Health,612 Canino Road
1901,Fairfax County Animal Services,4500 West Ox Road
2770,Go Boxer Rescue,P.O. Box 621
1558,Animal Friends, Inc.,562 Camp Horne Road
995,Anderson Humane Society,1410 Versailles Road
788,Pets In Distress, Inc.,P.O.Box 550876
2782,Burbank Animal Shelter ,1150 North Victory Place 
2785,Friends of the Four-Legged and Furry,PO Box 34
2787,Midwest Shiba Inu Rescue,
2816,Fairbanks North Start Borough Animal Control,2408 Davis Road
2835,McHenry County Animal Control,100 N Virginia Street (US Hwy 14) 
2836,MSPCA - Boston Animal Care and Adoption Center,350 South Huntington Avenue
887,All For The Animals, Inc.,
2838,Project Racing Home,7015 Faulkner Rd.
2861,Kings County Animal Services,10909 Bonneyview Lane 
2874,Taradise Rescue,
2883,Polk County Animal Control,7115 de Castro Road
2900,Sunshine Acres,
2901,West Valley Animal Services,4063 S. 7200 W.
2903,Kern Co Animal Control Dept - Bakersfield,201 S Mt Vernon Ave
2913,Kern County Animal Control - Mojave Shelter,923 Poole Street, Mojave Airport 
2914,Kern River Valley Shelter,14891 Highway 178
2905,S.A.F.E. Animal Haven,PO Box 3206
119,California Animal Shelter Friends, Inc.,34511 Highway 16
2950,Oklahoma City Animal Welfare Division,2811 SE 29th Street
129,Pet Haven Rescue Inc Murrieta,
2964,City of Georgetown Animal Shelter,110 W L Walden
654,Ernest W. Bell Animal Shelter\/ Swansea Animal Control,68 Stevens Rd.
2969,Nebraska Schnauzer Network,P O Box 114
2854,Hughs Pet Adoption,306 East 14th Street
2998,People for Cats,11 Beagle Lane
2049,Whiskers Animal Welfare and Education, Inc.,P O Box 127
3025,City of Houston, Bureau of Animal Regulation and Care,3200 Carr
3030,Blu's Ranch & Rescue,P O BOX 970501
1856,Lean On Me Doberman Rescue,2314 S. Route 59, 164
1253,Hearts On Noses, A Mini Pig Sanctuary ,
43,Paws and Whiskers Animal Rescue Organization,RR 1, Box 150
3070,Ky Avian Consulting & Education, Rescue,
3085,St Charles County Humane Services,4850 Mid Rivers Mall Drive
3087,NC Molosser Breed Rescue,
3088,Flutterbyes Animal Rescue,
3112,Humane Society of Broward County,2070 Griffin Road
1940,Humane Society for Tacoma & Pierce County,2608 Center Street
1928,City of Jacksonville - Animal Care and Control Center,2580 West First Street
610,Pasadena Humane Society & SPCA,361 South Raymond Avenue
3147,Humanity For Cats,PO Box 175
3178,Petite Pooch Rescue,Inc,
3181,Wishbone Pet Rescue,PO Box 0776
3185,Humane Society of the Nature Coast,P.O. Box 10328
2124,Humane Society of Manatee County,2515 14th Street West
3188,Magnolia Rescue Center,33411 Wright Rd.
2788,Merrimack River Feline Rescue Society,63 Elm Street
1955,Live Oak Animal Care and Control,8001 Shin Oak Drive
1917,ANGELS for ANIMALS, Inc. (PETsMART - Boardman),1101 Doral Drive
3201,Mid-Atlantic English Springer Spaniel Rescue,P.O. Box 15354 
542,Almost Home Az Boxer Rescue,PO BOX 93911
1510,Mason County Animal Shelter Group, Inc.,RR 1, Sand Hill Road
3216,Henry County Humane Society,P.O.Box 941
3240,Posh Pets Rescue,340 East 93rd Street
3250,Parrots First,P.O. Box 66223
3254,Lee County Domestic Animal Services,5600 Banner Drive
1900,Adams County Animal Shelter,10705 Fulton St
99,Second Chance Rescue,110 Bimini Lane
3266,San Luis Obispo County Animal Services Division,885 Oklahoma Street
3275,Humane Society of Ventura County,402 Bryant Street
3272,PleaseSaveACat, Inc,PO box 128
3298,Sheets Pet Clinic,8809 Chimney Rock Ct
3303,Southeast GSP Rescue,
1804,Animal Protection Society of Caswell County,836 County Home Road
3251,Rohnert Park Animal Shelter,301 J. Rogers Lane
194,Carolina Dal Pals Dalmatian Rescue,
1503,Rapid's Little Dog Rescue,7820 Deer Rd.
1891,StreetCats, Inc.,6520 E. 60th St.
2955,Stepping Stone Rescue,
3341,Love-A-Bull Rescue,23844 S Power Road Suite 102-309
2995,Prairie Dog Canine Rescue,1024 16 Street S
3393,E.B.R.P. Animal Control and Rescue,2680 Progress Road
3395,Second Chance Kennel,PO Box 157
3361,Healing Hands Sanctuary,
3257,Regional Animal Shelter,20201 King William Road P.O. Box 215
3419,Starting Over Animal Refuge, inc. ,1234 NW 7th St. 
3443,Perfect Paws Rescue Group,P.O. Box 2383 
3402,Halifax County Humane Society,
2235,Cats for Life, Inc.,P.O. Box 96394
1387,Save-A-Pet Personalized Pet Adoption and Humane Education,P.O. Box 2324
